iter	Passed	Remaining
0	86	86530
1	134	67096
2	183	61073
3	228	57016
4	277	55212
5	323	53658
6	441	62657
7	500	62042
8	548	60390
9	596	59077
10	650	58522
11	700	57694
12	746	56666
13	792	55832
14	838	55063
15	882	54278
16	930	53819
17	977	53312
18	1024	52917
19	1070	52433
20	1117	52090
21	1163	51732
22	1215	51622
23	1264	51436
24	1312	51168
25	1358	50899
26	1406	50681
27	1454	50502
28	1503	50329
29	1547	50048
30	1598	49980
31	1646	49821
32	1699	49787
33	1746	49633
34	1797	49555
35	1848	49505
36	1897	49390
37	1944	49215
38	1987	48984
39	2033	48807
40	2085	48784
41	2135	48710
42	2187	48673
43	2237	48606
44	2285	48511
45	2333	48387
46	2382	48318
47	2430	48202
48	2474	48023
49	2521	47915
50	2568	47796
51	2615	47676
52	2666	47639
53	2709	47474
54	2755	47348
55	2801	47232
56	2851	47167
57	2898	47071
58	2944	46956
59	2988	46817
60	3032	46682
61	3082	46641
62	3129	46547
63	3176	46454
64	3226	46406
65	3276	46366
66	3325	46310
67	3374	46245
68	3424	46210
69	3474	46164
70	3523	46101
71	3569	46004
72	3619	45960
73	3667	45889
74	3716	45835
75	3764	45774
76	3811	45686
77	3857	45594
78	3903	45512
79	3951	45440
80	3995	45337
81	4041	45248
82	4088	45169
83	4135	45099
84	4185	45059
85	4232	44987
86	4279	44913
87	4331	44888
88	4382	44855
89	4432	44818
90	4476	44717
91	4524	44654
92	4569	44567
93	4616	44495
94	4663	44429
95	4709	44348
96	4755	44266
97	4775	43954
98	4815	43827
99	4859	43737
100	4906	43674
101	4951	43589
102	4994	43499
103	5043	43454
104	5101	43487
105	5153	43463
106	5203	43428
107	5251	43374
108	5297	43299
109	5341	43218
110	5386	43144
111	5431	43060
112	5477	42992
113	5520	42905
114	5565	42827
115	5613	42780
116	5659	42715
117	5704	42640
118	5748	42560
119	5793	42488
120	5840	42430
121	5856	42149
122	5893	42020
123	5940	41964
124	5986	41906
125	6032	41842
126	6077	41774
127	6122	41711
128	6168	41651
129	6217	41607
130	6266	41566
131	6312	41509
132	6356	41436
133	6402	41379
134	6447	41313
135	6495	41266
136	6541	41209
137	6588	41156
138	6633	41089
139	6678	41027
140	6721	40951
141	6768	40898
142	6815	40845
143	6859	40773
144	6902	40698
145	6947	40639
146	6994	40586
147	7041	40538
148	7091	40502
149	7140	40465
150	7187	40411
151	7233	40356
152	7278	40294
153	7324	40235
154	7369	40178
155	7416	40127
156	7463	40075
157	7507	40006
158	7551	39944
159	7597	39886
160	7642	39828
161	7689	39777
162	7732	39707
163	7777	39645
164	7821	39582
165	7866	39524
166	7912	39467
167	7957	39410
168	8001	39346
169	8047	39290
170	8091	39227
171	8135	39163
172	8182	39116
173	8228	39061
174	8275	39014
175	8321	38961
176	8363	38889
177	8409	38832
178	8457	38789
179	8505	38745
180	8548	38682
181	8593	38624
182	8640	38576
183	8685	38520
184	8732	38470
185	8778	38417
186	8824	38364
187	8870	38314
188	8915	38256
189	8961	38202
190	9009	38159
191	9055	38106
192	9081	37973
193	9118	37884
194	9167	37843
195	9213	37795
196	9260	37745
197	9306	37696
198	9353	37649
199	9398	37594
200	9445	37546
201	9491	37497
202	9538	37448
203	9584	37399
204	9630	37347
205	9673	37284
206	9716	37223
207	9764	37182
208	9812	37136
209	9860	37093
210	9906	37044
211	9949	36980
212	9993	36923
213	10040	36879
214	10088	36835
215	10137	36796
216	10186	36755
217	10231	36701
218	10277	36650
219	10322	36597
220	10367	36545
221	10414	36498
222	10459	36445
223	10510	36410
224	10556	36362
225	10604	36317
226	10650	36268
227	10698	36225
228	10747	36184
229	10792	36130
230	10840	36088
231	10887	36042
232	10933	35992
233	10980	35946
234	11027	35897
235	11074	35852
236	11122	35806
237	11169	35761
238	11215	35710
239	11262	35664
240	11309	35616
241	11356	35570
242	11402	35521
243	11449	35475
244	11496	35427
245	11542	35377
246	11587	35326
247	11637	35286
248	11684	35240
249	11731	35194
250	11780	35153
251	11823	35095
252	11870	35047
253	11916	34998
254	11962	34948
255	12010	34906
256	12066	34884
257	12112	34836
258	12160	34791
259	12204	34736
260	12251	34689
261	12297	34638
262	12344	34593
263	12392	34548
264	12438	34498
265	12486	34456
266	12535	34412
267	12580	34362
268	12628	34317
269	12673	34264
270	12731	34247
271	12778	34200
272	12824	34152
273	12870	34102
274	12917	34056
275	12967	34016
276	13017	33976
277	13064	33930
278	13108	33875
279	13156	33830
280	13204	33785
281	13251	33739
282	13296	33686
283	13342	33638
284	13386	33583
285	13433	33536
286	13477	33483
287	13525	33438
288	13572	33390
289	13619	33344
290	13666	33297
291	13711	33245
292	13759	33200
293	13805	33151
294	13849	33098
295	13897	33053
296	13947	33012
297	13999	32978
298	14045	32929
299	14094	32886
300	14146	32850
301	14192	32802
302	14243	32763
303	14292	32722
304	14341	32678
305	14386	32627
306	14436	32588
307	14480	32535
308	14527	32486
309	14573	32437
310	14623	32396
311	14671	32351
312	14715	32299
313	14765	32258
314	14818	32223
315	14876	32201
316	14923	32153
317	14968	32102
318	15017	32059
319	15068	32021
320	15119	31981
321	15174	31951
322	15238	31938
323	15285	31891
324	15329	31838
325	15376	31790
326	15423	31742
327	15550	31860
328	15613	31844
329	15660	31795
330	15715	31763
331	15773	31737
332	15827	31702
333	15880	31666
334	15927	31617
335	15979	31578
336	16027	31531
337	16075	31485
338	16125	31443
339	16175	31400
340	16222	31350
341	16266	31295
342	16310	31242
343	16361	31200
344	16412	31159
345	16462	31117
346	16509	31067
347	16557	31021
348	16603	30971
349	16656	30932
350	16710	30898
351	16755	30845
352	16805	30801
353	16851	30752
354	16899	30703
355	16947	30658
356	16997	30615
357	17043	30563
358	17090	30514
359	17140	30472
360	17188	30424
361	17233	30373
362	17281	30325
363	17327	30276
364	17375	30229
365	17423	30181
366	17474	30140
367	17525	30097
368	17577	30057
369	17624	30009
370	17671	29961
